Iteration	Posterior	Likelihood	Prior	beta_scale	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_log_sd	tree_length
0	-533.868	-563.4158	29.54773	1.864779	0.485221	0.307781	0.148945	0.0580527	0.9290872	3.503163
6	-537.0859	-563.9418	26.8559	4.572776	0.554879	0.218472	0.146067	0.0805817	0.6618308	4.286945
12	-545.557	-575.8802	30.32327	3.500529	0.0569876	0.65266	0.267594	0.0227579	3.011224	0.818388
18	-540.0672	-570.8998	30.83252	2.225674	0.0700731	0.448587	0.329039	0.152301	2.443813	1.567126
24	-532.4454	-561.6539	29.20846	5.102747	0.0135165	0.57974	0.21675	0.189993	2.148491	1.822161
30	-552.6313	-576.2946	23.66334	13.26835	0.410069	0.241397	0.0744143	0.27412	1.075188	4.360201
36	-544.3286	-571.8124	27.48376	3.13627	0.361881	0.125974	0.397914	0.114231	0.6452899	4.360201
42	-547.1555	-575.4546	28.29912	10.58692	0.393817	0.396583	0.0452481	0.164352	1.955383	1.319792
48	-542.7421	-570.0917	27.34959	10.58692	0.57513	0.0203451	0.209133	0.195392	1.922651	2.024959
54	-543.78	-571.035	27.25494	6.04127	0.26448	0.397467	0.2258	0.112253	1.616358	3.149304
60	-539.8493	-571.1004	31.25114	0.5600576	0.0750329	0.45796	0.421449	0.0455577	3.090511	1.866957
66	-538.2271	-568.6229	30.39586	3.186681	0.210219	0.605943	0.00504196	0.178796	2.437417	1.439277
72	-534.9636	-565.2853	30.3217	2.639951	0.292405	0.482611	0.0388509	0.186132	2.022108	2.020284
78	-536.205	-566.1852	29.98022	4.02899	0.454092	0.0482127	0.0653306	0.432365	2.201279	1.588923
84	-539.9151	-568.5995	28.68438	6.395658	0.481463	0.050069	0.0194573	0.449011	1.737642	2.106668
90	-539.4016	-568.4059	29.00429	6.395658	0.234131	0.273415	0.0204535	0.472001	1.417733	2.106668
96	-543.7381	-568.5231	24.78506	27.65937	0.187407	0.513128	0.244473	0.0549918	1.427015	2.106668
102	-536.7408	-565.7085	28.96771	4.94965	0.0711387	0.405163	0.100239	0.423459	1.822687	2.242205
108	-529.8546	-559.8017	29.94706	5.650896	0.114791	0.406978	0.100688	0.377543	2.266365	0.9607441
114	-527.961	-559.1391	31.17814	2.496235	0.142234	0.32185	0.31738	0.218536	2.393453	1.18802
120	-557.7907	-582.5227	24.73201	7.717122	0.0669629	0.803974	0.0673271	0.0617364	1.344142	4.424012
126	-545.6071	-572.7305	27.12342	2.584411	0.037954	0.913228	0.020297	0.028521	1.232789	4.424012
132	-533.5771	-563.1134	29.53629	2.584411	0.290562	0.588689	0.112227	0.00852197	0.9838126	3.176421
138	-537.3827	-567.2417	29.859	2.105155	0.252508	0.548915	0.193791	0.00478534	1.562577	2.834167
144	-538.8954	-569.6336	30.73829	1.879538	0.232619	0.57447	0.188502	0.00440842	0.8531313	2.834167
150	-549.333	-578.6848	29.35184	3.298909	0.0809583	0.429407	0.471114	0.018521	1.476476	2.729736
156	-543.5215	-575.2161	31.69466	1.602456	0.136699	0.72506	0.0455855	0.0926547	1.932776	1.660416
162	-543.7038	-573.0702	29.36633	5.225554	0.0818732	0.653754	0.220124	0.0442496	2.332386	1.541668
168	-534.4427	-565.7961	31.35337	2.269867	0.0807677	0.382954	0.492626	0.0436521	2.73309	0.8266637
174	-536.8488	-566.5649	29.71602	4.187273	0.359584	0.137752	0.280108	0.222556	2.610204	1.422112
180	-546.0296	-577.1684	31.13886	2.504441	0.183061	0.322822	0.456025	0.038092	2.684943	0.9444788
186	-553.2499	-582.7456	29.49564	3.70907	0.384993	0.181324	0.378064	0.055619	2.141913	2.076632
192	-535.451	-563.7012	28.25016	1.5269	0.267155	0.226059	0.416923	0.0898628	1.88796	3.85868
198	-538.1062	-566.5238	28.41761	1.822119	0.2961	0.368448	0.186275	0.149177	1.478229	3.85868
204	-536.2858	-566.2961	30.01026	4.787533	0.30726	0.357389	0.304922	0.0304288	1.560306	1.769476
210	-542.9466	-569.0966	26.15007	3.735103	0.387106	0.190397	0.384161	0.0383361	1.626059	4.372855
216	-539.1952	-570.2884	31.09325	1.904978	0.387106	0.190397	0.384161	0.0383361	2.31381	1.644306
222	-534.3172	-563.881	29.56376	1.904978	0.169502	0.6455	0.168212	0.0167862	2.459257	2.557108
228	-531.9733	-563.1253	31.15201	3.372718	0.324845	0.270014	0.372971	0.0321702	2.315674	0.7295997
234	-534.4776	-564.4177	29.94014	6.662447	0.224689	0.495082	0.257977	0.0222516	2.079235	0.7295997
240	-533.6879	-563.2148	29.5269	6.6644	0.444547	0.0604294	0.470408	0.024615	2.135129	1.124005
246	-534.645	-564.9188	30.27382	4.170021	0.300272	0.0539278	0.370867	0.274933	1.951878	1.504858
252	-548.2248	-569.685	21.46019	25.57421	0.548618	0.044327	0.181068	0.225987	1.483701	4.220537
258	-543.5617	-570.0918	26.53013	5.728481	0.704019	0.0179117	0.240268	0.0378018	1.324805	3.813936
264	-537.8828	-567.1537	29.27089	7.614197	0.317547	0.278995	0.308326	0.0951326	2.340361	0.8458534
270	-534.5656	-562.0069	27.44127	14.98486	0.232432	0.304546	0.458101	0.00492074	2.200373	0.9897986
276	-534.3396	-560.366	26.02646	8.213496	0.366679	0.225027	0.392272	0.0160213	1.762134	3.350852
282	-539.6835	-572.8829	33.19943	0.7733587	0.119273	0.634322	0.239456	0.00694911	2.127122	0.893738
288	-534.0009	-563.7143	29.71345	2.4442	0.0722219	0.72991	0.189872	0.00799629	2.066815	2.466345
294	-534.8461	-567.1589	32.31278	0.8498659	0.0199436	0.771039	0.200571	0.00844687	2.457379	1.331119
300	-538.9207	-570.8524	31.93169	0.7602737	0.290154	0.347988	0.341008	0.0208496	2.93225	1.331119
306	-528.607	-560.841	32.23398	1.506634	0.287009	0.114411	0.573964	0.0246153	2.448553	0.8220015
312	-528.9052	-561.2121	32.30691	1.434335	0.166189	0.516297	0.296663	0.0208504	2.409515	0.8578549
318	-535.2987	-563.6177	28.31903	6.471032	0.201074	0.524163	0.133214	0.141549	1.6853	2.358135
324	-535.8156	-565.4824	29.66675	4.502019	0.274802	0.521331	0.0465007	0.157366	1.808895	1.923651
330	-540.1651	-569.0388	28.87373	4.888813	0.200667	0.566317	0.0505133	0.182503	2.112206	2.132731
336	-540.0872	-568.7351	28.64791	6.63542	0.336224	0.567311	0.0779724	0.0184929	2.112206	1.821513
342	-536.6578	-566.5363	29.87851	6.63542	0.371769	0.027099	0.376528	0.224604	1.668295	1.233104
